cid,bdate,gen
NASAW00011000,1971-10-06,Male
NASAW00011001,1976-05-10,Male
NASAW00011002,1971-02-09,Male
NASAW00011003,1973-08-14,Female
NASAW00011004,1979-08-05,Female
NASAW00011005,1976-08-01,Male
NASAW00011006,1976-12-02,Female
NASAW00011007,1969-11-06,Male
NASAW00011008,1975-07-04,Female
NASAW00011009,1969-09-29,Male
NASAW00011010,1969-08-05,Female
NASAW00011011,1969-05-03,Male
NASAW00011012,1979-01-14,Female
NASAW00011013,1979-08-03,Male
NASAW00011014,1973-11-06,Female
NASAW00011015,1984-08-26,Female
NASAW00011016,1984-10-25,Male
NASAW00011017,1949-12-24,Female
NASAW00011018,1955-10-06,Male
NASAW00011019,1983-09-04,Male
NASAW00011020,1984-03-19,Male
NASAW00011021,1984-03-02,Female
NASAW00011022,1984-04-10,Female
NASAW00011023,1984-04-09,Female
NASAW00011024,1984-03-16,Female
NASAW00011025,1951-06-22,Female
NASAW00011026,1951-10-01,Female
NASAW00011027,1952-06-05,Female
NASAW00011028,1951-10-09,Female
NASAW00011029,1952-06-19,Female
NASAW00011030,1958-02-18,Female
NASAW00011031,1953-02-18,Female
NASAW00011032,1952-12-08,Female
NASAW00011033,1958-09-19,Female
NASAW00011034,1952-12-16,Female
NASAW00011035,1953-08-23,Female
NASAW00011036,1984-06-16,Female
NASAW00011037,1983-05-27,Female
NASAW00011038,1953-09-20,Female
NASAW00011039,1954-06-16,"  "
NASAW00011040,1983-01-29," "
NASAW00011041,1983-04-15," "
NASAW00011042,1982-12-11,Female
NASAW00011043,1981-08-23,Female
NASAW00011044,1954-11-21,Female
NASAW00011045,1955-11-16,Female
NASAW00011046,1955-09-19,Female
NASAW00011047,1955-08-27,Female
NASAW00011048,1956-05-21,Female
NASAW00011049,1986-01-15,Female
NASAW00011050,1957-03-06,Female
NASAW00011051,1957-01-31,Female
NASAW00011052,1957-02-03,Female
NASAW00011053,1986-02-17,Female
NASAW00011054,1957-09-07,Female
NASAW00011055,1957-09-02,"M "
NASAW00011056,1958-10-01,"F "
NASAW00011057,1970-04-07,Female
NASAW00011058,1965-04-23,Female
NASAW00011059,1959-09-29,Female
NASAW00011060,1959-09-14,Female
NASAW00011061,1976-02-20,Male
NASAW00011062,1981-03-01,Male
NASAW00011063,1980-10-04,Female
NASAW00011064,1981-06-05,Male
NASAW00011065,1979-04-08,Female
NASAW00011066,1979-05-27,Female
NASAW00011067,1982-03-25,Male
NASAW00011068,1966-09-19,Female
NASAW00011069,1966-09-17,Female
NASAW00011070,1960-10-02,Male
NASAW00011071,1960-12-23,Female
NASAW00011072,1960-08-05,Female
NASAW00011073,1962-02-11,Female
NASAW00011074,1962-02-25,Male
NASAW00011075,1963-05-16,Female
NASAW00011076,1963-01-10,Male
NASAW00011077,1963-03-19,Female
NASAW00011078,1985-01-06,Female
NASAW00011079,1970-03-07,Male
NASAW00011080,1965-01-13,Male
NASAW00011081,1972-01-21,Female
NASAW00011082,1972-02-01,Female
NASAW00011083,1977-03-11,Female
NASAW00011084,1963-03-12,Male
NASAW00011085,1963-01-16,Female
NASAW00011086,1963-06-22,Male
NASAW00011087,1963-04-02,Female
NASAW00011088,1963-05-25,Male
NASAW00011089,1962-08-05,Female
NASAW00011090,1968-12-13,Male
NASAW00011091,1962-10-02,Male
NASAW00011092,1972-11-02,Female
NASAW00011093,1978-09-06,Female
NASAW00011094,1967-09-29,Male
NASAW00011095,1968-02-29,Male
NASAW00011096,1968-02-07,Male
NASAW00011097,1972-10-23,Male
NASAW00011098,1966-10-29,Female
NASAW00011099,1966-09-05,Male
NASAW00011100,1966-03-15,Female
NASAW00011101,1970-11-05,Female
NASAW00011102,1970-10-19,Female
NASAW00011103,1981-04-12,Female
NASAW00011104,1975-03-08,Male
NASAW00011105,1970-06-27,Female
NASAW00011106,1970-03-11,Male
NASAW00011107,1976-03-04,Female
NASAW00011108,1969-01-10,Female
NASAW00011109,1980-04-30,Male
NASAW00011110,1967-12-04,Male
NASAW00011111,1967-08-23,Female
NASAW00011112,1968-03-08,Female
NASAW00011113,1973-02-17,Male
NASAW00011114,1967-11-25,Female
NASAW00011115,1967-08-12,Male
NASAW00011116,1979-04-02,Male
NASAW00011117,1966-08-21,Female
NASAW00011118,1962-12-31,Male
NASAW00011119,1940-10-07,Male
NASAW00011120,1942-02-06,Female
NASAW00011121,1966-05-18,Male
NASAW00011122,1965-09-30,Male
NASAW00011123,1965-12-18,Male
NASAW00011124,1968-07-23,Male
NASAW00011125,1961-10-06,Female
NASAW00011126,1954-10-05,Male
NASAW00011127,1981-04-19,Female
NASAW00011128,1981-06-03,Female
NASAW00011129,1981-02-01,Female
NASAW00011130,1985-07-05,Female
NASAW00011131,1985-09-09,Female
NASAW00011132,1986-04-25,Female
NASAW00011133,1986-03-08,Female
NASAW00011134,1957-02-22,Male
NASAW00011135,1985-05-02,Male
NASAW00011136,1984-04-24,Female
NASAW00011137,1984-01-17,Female
NASAW00011138,1984-03-14,Female
NASAW00011139,1949-11-05,Female
NASAW00011140,1982-08-11,Male
NASAW00011141,1982-12-19,F
NASAW00011142,1983-02-11,M
NASAW00011143,1982-08-04,Male
NASAW00011144,1985-03-08,Male
NASAW00011145,1985-06-06,Female
NASAW00011146,1945-02-22,Female
NASAW00011147,1944-08-04,Male
NASAW00011148,1947-02-13,Male
NASAW00011149,1946-10-18,Male
NASAW00011150,1946-09-12,Male
NASAW00011151,1947-08-25,Female
NASAW00011152,1981-07-09,Male
NASAW00011153,1981-12-21,Female
NASAW00011154,1982-02-18,Female
NASAW00011155,1981-07-25,Male
NASAW00011156,1981-08-06,Female
NASAW00011157,1980-12-08,Female
NASAW00011158,1981-04-06,Male
NASAW00011159,1981-03-16,Female
NASAW00011160,1979-07-08,Male
NASAW00011161,1979-10-20,Female
NASAW00011162,1979-09-02,Male
NASAW00011163,1980-06-18,Male
NASAW00011164,1979-11-02,Male
NASAW00011165,1979-01-15,Female
NASAW00011166,1977-10-22,Female
NASAW00011167,1978-01-29,Female
NASAW00011168,1973-11-12,Male
NASAW00011169,1973-12-20,Male
NASAW00011170,1973-08-04,Female
NASAW00011171,1978-10-05,Male
NASAW00011172,1973-05-20,Female
NASAW00011173,1973-02-28,Female
NASAW00011174,1973-01-09,Male
NASAW00011175,1968-09-01,Male
NASAW00011176,1979-01-21,Male
NASAW00011177,1948-01-01,Male
NASAW00011178,1954-08-20,Male
NASAW00011179,1959-12-08,Female
NASAW00011180,1948-07-01,Female
NASAW00011181,1960-02-01,Male
NASAW00011182,1950-02-22,Female
NASAW00011183,1950-01-12,Female
NASAW00011184,1955-11-13,Female
NASAW00011185,1950-04-07,Female
NASAW00011186,1949-11-18,Female
NASAW00011187,1949-08-21,Female
NASAW00011188,1950-03-06,Female
NASAW00011189,1950-01-12,Male
NASAW00011190,1949-12-20,Male
NASAW00011191,1951-06-17,Female
NASAW00011192,1951-03-13,Male
NASAW00011193,1950-08-13,Male
NASAW00011194,1950-12-08,Female
NASAW00011195,1951-08-10,Female
NASAW00011196,1951-12-05,Male
NASAW00011197,1951-12-16,Female
NASAW00011198,1952-05-25,Female
NASAW00011199,1957-11-02,Female
NASAW00011200,1953-05-21,Male
NASAW00011201,1953-02-14,Female
NASAW00011202,1958-08-22,Female
NASAW00011203,1959-08-18,Male
NASAW00011204,1953-11-29,Female
NASAW00011205,1954-01-21,Female
NASAW00011206,1954-03-24,Male
NASAW00011207,1954-01-16,Female
NASAW00011208,1953-08-03,Female
NASAW00011209,1953-07-12,Female
NASAW00011210,1953-12-06,Male
NASAW00011211,1960-10-08,Female
NASAW00011212,1955-05-05,Female
NASAW00011213,1954-11-11,Female
NASAW00011214,1955-05-07,Male
NASAW00011215,1961-06-17,Female
NASAW00011216,1955-11-17,Female
NASAW00011217,1955-08-11,Female
NASAW00011218,1961-09-07,Female
NASAW00011219,1956-05-31,Male
NASAW00011220,1961-02-19,Female
NASAW00011221,1955-12-08,Male
NASAW00011222,1956-02-14,Female
NASAW00011223,1957-03-15,Female
NASAW00011224,1957-03-05,Female
NASAW00011225,1962-02-12,Female
NASAW00011226,1962-09-23,Female
NASAW00011227,1962-08-08,Male
NASAW00011228,1956-10-16,Female
NASAW00011229,1957-06-01,Male
NASAW00011230,1956-09-30,Female
NASAW00011231,1963-11-11,Male
NASAW00011232,1958-03-27,Female
NASAW00011233,1963-09-06,Male
NASAW00011234,1958-05-19,Female
NASAW00011235,1957-08-07,Male
NASAW00011236,1957-09-02,Male
NASAW00011237,1964-03-22,Male
NASAW00011238,1964-02-07,Female
NASAW00011239,1969-10-02,Female
NASAW00011240,1964-06-09,Female
NASAW00011241,1974-04-06,Female
NASAW00011242,1963-05-11,Male
NASAW00011243,1963-04-08,Female
NASAW00011244,1968-11-22,Female
NASAW00011245,1962-04-26,Male
NASAW00011246,1962-04-08,Female
NASAW00011247,1961-12-04,Female
NASAW00011248,1966-03-22,Male
NASAW00011249,1966-07-09,Female
NASAW00011250,1966-03-08,Female
NASAW00011251,1938-01-01,Male
NASAW00011252,1937-12-05,Male
NASAW00011253,1949-08-24,Male
NASAW00011254,1938-08-31,Male
NASAW00011255,1938-10-02,Male
NASAW00011256,1939-03-20,Female
NASAW00011257,2050-07-06,Female
NASAW00011258,1938-12-26,Male
NASAW00011259,1970-09-24,Female
NASAW00011260,1976-04-08,Female
NASAW00011261,1970-10-22,Female
NASAW00011262,1975-05-01,Female
NASAW00011263,1970-03-11,Female
NASAW00011264,1969-12-15,Male
NASAW00011265,1970-01-10,Female
NASAW00011266,1969-11-02,Female
NASAW00011267,1975-09-29,Male
NASAW00011268,1969-10-31,Female
NASAW00011269,1975-10-10,Male
NASAW00011270,1975-05-01,Male
NASAW00011271,1969-12-03,Female
NASAW00011272,1962-05-10,Female
NASAW00011273,1962-03-31,Male
NASAW00011274,1939-10-10,Male
NASAW00011275,1939-07-18,Female
NASAW00011276,1974-09-15,Female
NASAW00011277,1968-12-07,Male
NASAW00011278,1969-02-16,Male
NASAW00011279,1974-09-08,Female
NASAW00011280,1969-02-17,Male
NASAW00011281,1974-10-06,Female
NASAW00011282,1967-07-16,Male
NASAW00011283,1968-04-24,Male
NASAW00011284,1967-09-24,Female
NASAW00011285,1973-03-15,Male
NASAW00011286,1967-08-31,Male
NASAW00011287,1966-07-16,Male
NASAW00011288,1978-03-12,Female
NASAW00011289,1972-03-03,Female
NASAW00011290,1972-08-14,Female
NASAW00011291,1972-05-01,Female
NASAW00011292,1967-05-05,Male
NASAW00011293,1960-11-23,Male
NASAW00011294,1961-03-02,Male
NASAW00011295,1959-11-13,Female
NASAW00011296,1941-04-05,Female
NASAW00011297,1940-08-01,Male
NASAW00011298,1940-08-30,Male
NASAW00011299,1941-09-29,Male
NASAW00011300,1965-08-31,Male
NASAW00011301,1965-12-07,Male
NASAW00011302,1971-12-09,Male
NASAW00011303,1966-04-10,Female
NASAW00011304,1971-03-14,Female
NASAW00011305,1965-12-17,Male
NASAW00011306,1965-12-20,Male
NASAW00011307,1965-10-31,Male
NASAW00011308,1959-09-02,Male
NASAW00011309,1959-12-10,Female
NASAW00011310,1964-07-05,Female
NASAW00011311,1959-02-21,Female
NASAW00011312,1958-10-01,Female
NASAW00011313,1958-08-27,Male
NASAW00011314,1970-06-16,Female
NASAW00011315,1959-03-31,Female
NASAW00011316,1959-05-17,Male
NASAW00011317,1963-09-14,Female
NASAW00011318,1958-04-25,Female
NASAW00011319,1948-04-23,Female
NASAW00011320,1942-12-24,Female
NASAW00011321,1944-01-05,Male
NASAW00011322,1943-09-12,Female
NASAW00011323,1943-12-18,Male
NASAW00011324,1944-11-10,Male
NASAW00011325,1944-12-29,Male
NASAW00011326,1944-12-23,Male
NASAW00011327,1945-09-01,Male
NASAW00011328,1945-06-30,Male
NASAW00011329,1946-01-22,Male
NASAW00011330,1945-11-10,Male
NASAW00011331,1974-01-03,Female
NASAW00011332,1968-04-02,Female
NASAW00011333,1968-01-07,Female
NASAW00011334,1966-09-19,Female
NASAW00011335,1977-12-18,Female
NASAW00011336,1973-03-08,Male
NASAW00011337,1967-03-21,Male
NASAW00011338,1972-08-06,Male
NASAW00011339,1967-01-05,Male
NASAW00011340,1947-04-03,Female
NASAW00011341,1942-02-18,Male
NASAW00011342,1973-03-07,Male
NASAW00011343,1975-03-09,Male
NASAW00011344,1963-01-21,Female
NASAW00011345,1962-09-09,Female
NASAW00011346,1966-05-18,Female
NASAW00011347,1972-06-17,Male
NASAW00011348,1961-03-21,Male
NASAW00011349,1965-08-30,Female
NASAW00011350,1942-07-14,Female
NASAW00011351,1950-04-02,Female
NASAW00011352,1945-09-04,Male
NASAW00011353,1946-12-09,Female
NASAW00011354,1947-08-23,Female
NASAW00011355,1948-06-26,Male
NASAW00011356,1985-11-24,Male
NASAW00011357,1984-09-19,Male
NASAW00011358,1984-05-10,Female
NASAW00011359,1984-03-03,Male
NASAW00011360,1984-01-30,Male
NASAW00011361,1982-10-26,Female
NASAW00011362,1983-05-11,Male
NASAW00011363,1983-04-19,Male
NASAW00011364,1985-03-22,Female
NASAW00011365,1984-12-06,Female
NASAW00011366,1985-04-23,Female
NASAW00011367,1984-08-21,Male
NASAW00011368,1984-05-24,Male
NASAW00011369,1984-02-01,Female
NASAW00011370,1983-09-29,Female
NASAW00011371,1983-11-24,Female
NASAW00011372,1983-11-12,Female
NASAW00011373,1954-09-16,Female
NASAW00011374,1948-12-25,Male
NASAW00011375,1948-11-05,Male
NASAW00011376,1948-12-07,Male
NASAW00011377,1966-08-23,Male
NASAW00011378,1965-11-19,Female
NASAW00011379,1976-05-13,Male
NASAW00011380,1964-08-29,Male
NASAW00011381,1970-08-18,Female
NASAW00011382,1974-07-15,Male
NASAW00011383,1966-02-25,Female
NASAW00011384,1971-10-13,Female
NASAW00011385,1971-08-08,Male
NASAW00011386,1971-11-02,Female
NASAW00011387,1964-11-29,Female
NASAW00011388,1965-01-20,Male
NASAW00011389,1981-04-20,Male
NASAW00011390,1976-04-17,Female
NASAW00011391,1976-06-25,Female
NASAW00011392,1981-02-03,Male
NASAW00011393,1974-07-17,Male
NASAW00011394,1975-04-22,Male
NASAW00011395,1976-04-16,Female
NASAW00011396,1975-04-04,Male
NASAW00011397,1974-12-02,Female
NASAW00011398,1975-03-09,Male
NASAW00011399,1975-02-01,Female
NASAW00011400,1980-04-15,Male
NASAW00011401,1975-02-23,Female
NASAW00011402,1975-05-20,Female
NASAW00011403,1980-01-06,Female
NASAW00011404,1957-06-30,Female
NASAW00011405,1957-08-16,Female
NASAW00011406,1957-12-31,Female
NASAW00011407,1957-09-30,Male
NASAW00011408,1964-05-10,Male
NASAW00011409,1979-03-02,Female
NASAW00011410,2042-02-22,Male
NASAW00011411,1959-08-12,Male
NASAW00011412,1959-10-07,Female
NASAW00011413,1959-10-13,Female
NASAW00011414,1959-09-15,Male
NASAW00011415,1949-12-03,Male
NASAW00011416,1950-09-16,Female
NASAW00011417,1950-08-26,Female
NASAW00011418,1950-08-09,Male
NASAW00011419,1950-08-18,Male
NASAW00011420,1952-01-09,Male
NASAW00011421,1952-01-16,Female
NASAW00011422,1952-02-29,Male
NASAW00011423,1960-05-04,Female
NASAW00011424,1964-12-03,Female
NASAW00011425,1965-08-02,Female
NASAW00011426,1959-04-01,Male
NASAW00011427,1959-06-17,Female
NASAW00011428,1959-02-19,Female
NASAW00011429,1958-01-13,Male
NASAW00011430,1957-09-21,Female
NASAW00011431,1974-10-20,Male
NASAW00011432,1957-03-10,Female
NASAW00011433,1957-03-01,Male
NASAW00011434,1962-05-02,Male
NASAW00011435,1955-09-03,Female
NASAW00011436,1956-03-17,Female
NASAW00011437,1955-06-16,Male
NASAW00011438,1955-04-13,Female
NASAW00011439,1953-11-14,Female
NASAW00011440,1953-03-26,Male
NASAW00011441,1952-12-09,Female
NASAW00011442,1953-05-13,Male
