order_number,product_key,customer_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO43697,20,10769,2010-12-29,2011-01-05,2011-01-10,3578,1,3578
SO43698,9,17390,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43699,9,14864,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43700,41,3502,2010-12-29,2011-01-05,2011-01-10,699,1,699
SO43701,9,4,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43702,16,16646,2010-12-30,2011-01-06,2011-01-11,3578,1,3578
SO43703,20,5625,2010-12-30,2011-01-06,2011-01-11,3578,1,3578
SO43704,6,6,2010-12-30,2011-01-06,2011-01-11,3375,1,3375
SO43705,7,12,2010-12-30,2011-01-06,2011-01-11,3400,1,3400
SO43706,17,16622,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43707,17,16617,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43708,44,9043,2010-12-31,2011-01-07,2011-01-12,699,1,699
SO43709,18,5352,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43710,19,5518,2010-12-31,2011-01-07,2011-01-12,3578,1,3578
SO43711,19,16607,2011-01-01,2011-01-08,2011-01-13,3578,1,3578
SO43712,16,2514,2011-01-01,2011-01-08,2011-01-13,3578,1,3578
SO43713,20,16602,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43714,16,2592,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43715,19,5484,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43716,16,5530,2011-01-02,2011-01-09,2011-01-14,3578,1,3578
SO43717,41,14250,2011-01-02,2011-01-09,2011-01-14,699,1,699
SO43718,16,16669,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43719,17,16613,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43720,16,2265,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43721,20,2591,2011-01-03,2011-01-10,2011-01-15,3578,1,3578
SO43722,17,2582,2011-01-04,2011-01-11,2011-01-16,3578,1,3578
SO43723,39,3521,2011-01-04,2011-01-11,2011-01-16,699,1,699
SO43724,16,5521,2011-01-04,2011-01-11,2011-01-16,3578,1,3578
SO43725,16,2259,2011-01-05,2011-01-12,2011-01-17,3578,1,3578
SO43726,39,3561,2011-01-05,2011-01-12,2011-01-17,699,1,699
SO43727,16,5608,2011-01-05,2011-01-12,2011-01-17,3578,1,3578
SO43728,18,16667,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43729,9,239,2011-01-06,2011-01-13,2011-01-18,3400,1,3400
SO43730,9,14862,2011-01-06,2011-01-13,2011-01-18,3400,1,3400
SO43731,19,5630,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43732,5,26,2011-01-06,2011-01-13,2011-01-18,3375,1,3375
SO43733,17,16578,2011-01-06,2011-01-13,2011-01-18,3578,1,3578
SO43734,17,16605,2011-01-07,2011-01-14,2011-01-19,3578,1,3578
SO43735,20,5523,2011-01-07,2011-01-14,2011-01-19,3578,1,3578
SO43736,9,3,2011-01-07,2011-01-14,2011-01-19,3400,1,3400
SO43737,16,2262,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43738,17,607,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43739,20,2564,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43740,17,5528,2011-01-08,2011-01-15,2011-01-20,3578,1,3578
SO43741,20,16672,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43742,19,2577,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43743,10,8,2011-01-09,2011-01-16,2011-01-21,3400,1,3400
SO43744,18,5632,2011-01-09,2011-01-16,2011-01-21,3578,1,3578
SO43745,16,5515,2011-01-10,2011-01-17,2011-01-22,3578,1,3578
SO43746,17,5617,2011-01-10,2011-01-17,2011-01-22,3578,1,3578
SO43747,19,16624,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43748,18,16626,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43749,19,16637,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43750,16,592,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43751,18,593,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43752,16,2266,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43753,20,5483,2011-01-11,2011-01-18,2011-01-23,3578,1,3578
SO43754,17,16618,2011-01-12,2011-01-19,2011-01-24,3578,1,3578
SO43755,16,16671,2011-01-12,2011-01-19,2011-01-24,3578,1,3578
SO43756,39,8942,2011-01-12,2011-01-19,2011-01-24,699,1,699
SO43757,5,18,2011-01-12,2011-01-19,2011-01-24,3375,1,3375
SO43758,20,16647,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43759,20,2258,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43760,19,5353,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43761,20,5494,2011-01-13,2011-01-20,2011-01-25,3578,1,3578
SO43762,19,16579,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43763,18,5526,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43764,20,5613,2011-01-14,2011-01-21,2011-01-26,3578,1,3578
SO43765,9,11,2011-01-14,2011-01-21,2011-01-26,3400,1,3400
SO43766,18,5519,2011-01-15,2011-01-22,2011-01-27,3578,1,3578
SO43767,5,2,2011-01-15,2011-01-22,2011-01-27,3375,1,3375
SO43768,17,16650,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43769,17,10660,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43770,17,16615,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43771,44,3560,2011-01-16,2011-01-23,2011-01-28,699,1,699
SO43772,17,5525,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43773,19,5527,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43774,18,5349,2011-01-16,2011-01-23,2011-01-28,3578,1,3578
SO43775,10,28,2011-01-16,2011-01-23,2011-01-28,3400,1,3400
SO43776,19,2261,2011-01-17,2011-01-24,2011-01-29,3578,1,3578
SO43777,16,5516,2011-01-17,2011-01-24,2011-01-29,3578,1,3578
SO43778,8,19,2011-01-17,2011-01-24,2011-01-29,3400,1,3400
SO43779,42,14253,2011-01-17,2011-01-24,2011-01-29,699,1,699
SO43780,16,600,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43781,17,5496,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43782,17,5517,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43783,17,5621,2011-01-18,2011-01-25,2011-01-30,3578,1,3578
SO43784,20,16668,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43785,16,602,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43786,16,608,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43787,7,18386,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43788,6,240,2011-01-19,2011-01-26,2011-01-31,3375,1,3375
SO43789,6,14866,2011-01-19,2011-01-26,2011-01-31,3375,1,3375
SO43790,7,14858,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43791,19,5485,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43792,17,5624,2011-01-19,2011-01-26,2011-01-31,3578,1,3578
SO43793,7,1,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43794,10,30,2011-01-19,2011-01-26,2011-01-31,3400,1,3400
SO43795,17,16616,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43796,38,6957,2011-01-20,2011-01-27,2011-02-01,699,1,699
SO43797,17,5346,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43798,20,5522,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43799,17,5637,2011-01-20,2011-01-27,2011-02-01,3578,1,3578
SO43800,16,10711,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43801,16,2584,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43802,17,594,2011-01-21,2011-01-28,2011-02-02,3578,1,3578
SO43803,19,10742,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43804,20,2586,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43805,43,3511,2011-01-22,2011-01-29,2011-02-03,699,1,699
SO43806,17,5524,2011-01-22,2011-01-29,2011-02-03,3578,1,3578
SO43807,17,612,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43808,18,2260,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
SO43809,20,5351,2011-01-23,2011-01-30,2011-02-04,3578,1,3578
